pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1040017","2017","Arsenic","Kelliher","Beltrami","Kelliher","Groundwater","1.2 ug/L","1.2 ug/L","267","27007"
"1050001","2017","Arsenic","Foley","Benton","Foley","Groundwater","1.58 ug/L","1.58 ug/L","2636","27009"
"1050002","2017","Arsenic","Rice","Benton","Rice","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","1279","27009"
"1050003","2017","Arsenic","Rockwood Estates","Benton","Rice","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","400","27009"
"1050009","2017","Arsenic","Benton Utilities LLC","Benton","Rice","Groundwater","2.24 ug/L","2.24 ug/L","120","27009"
"1050004","2017","Arsenic","Sauk Rapids","Benton","Sauk Rapids","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","13083","27009"
"1050005","2017","Arsenic","Fischers Garden Mobile Home Park","Benton","Sauk Rapids","Groundwater","1.91 ug/L","2.61 ug/L","220","27009"
"1050011","2017","Arsenic","Barry","Benton","Sauk Rapids","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","80","27009"
"1060002","2017","Arsenic","Beardsley","Big Stone","Beardsley","Groundwater","3.98 ug/L","3.98 ug/L","225","27011"
"1060003","2017","Arsenic","Clinton","Big Stone","Clinton","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","450","27011"
"1060010","2017","Arsenic","Lismore Colony","Big Stone","Clinton","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","77","27011"
"1060004","2017","Arsenic","Correll","Big Stone","Correll","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","39","27011"
"1060005","2017","Arsenic","Graceville","Big Stone","Graceville","Groundwater","1.52 ug/L","1.52 ug/L","565","27011"
"1060009","2017","Arsenic","Big Stone Hutterite","Big Stone","Graceville","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","75","27011"
"1060006","2017","Arsenic","Johnson","Big Stone","Johnson","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","32","27011"
"1060007","2017","Arsenic","Odessa","Big Stone","Odessa","Groundwater","1.38 ug/L","1.38 ug/L","113","27011"
"1060008","2017","Arsenic","Ortonville","Big Stone","Ortonville","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","1910","27011"
